,datetime,province,temp,wind_dir,wind_speed
117,2020-07-15 16:00:00,Surat,25.8,220,1
118,2020-07-15 19:00:00,Surat,25.0,240,4
119,2020-07-15 22:00:00,Surat,24.5,245,5
120,2020-07-16 01:00:00,Surat,25.1,245,3
121,2020-07-16 04:00:00,Surat,27.5,260,5
122,2020-07-16 07:00:00,Surat,30.6,235,5
123,2020-07-16 10:00:00,Surat,30.9,250,9
124,2020-07-16 13:00:00,Surat,26.8,285,1
125,2020-07-16 16:00:00,Surat,26.6,310,3
126,2020-07-16 19:00:00,Surat,25.6,245,4
127,2020-07-16 22:00:00,Surat,25.3,210,2
128,2020-07-17 01:00:00,Surat,25.8,250,3
129,2020-07-17 04:00:00,Surat,29.7,240,3
130,2020-07-17 07:00:00,Surat,30.8,120,1
131,2020-07-17 10:00:00,Surat,29.4,85,5
132,2020-07-17 13:00:00,Surat,26.6,60,1
133,2020-07-17 16:00:00,Surat,25.9,195,4
134,2020-07-17 19:00:00,Surat,25.0,205,5
135,2020-07-17 22:00:00,Surat,24.2,245,5
136,2020-07-18 01:00:00,Surat,25.2,275,1
137,2020-07-18 04:00:00,Surat,29.5,345,3
138,2020-07-18 07:00:00,Surat,31.8,90,1
139,2020-07-18 10:00:00,Surat,31.3,70,6
140,2020-07-18 13:00:00,Surat,27.0,110,4
141,2020-07-18 16:00:00,Surat,26.0,155,3
142,2020-07-18 19:00:00,Surat,25.4,175,3
143,2020-07-18 22:00:00,Surat,24.8,175,3
144,2020-07-19 01:00:00,Surat,25.8,220,5
145,2020-07-19 04:00:00,Surat,29.8,255,4
146,2020-07-19 07:00:00,Surat,31.3,150,3
147,2020-07-19 10:00:00,Surat,30.8,120,3
148,2020-07-19 13:00:00,Surat,27.2,135,2
149,2020-07-19 16:00:00,Surat,26.1,190,3
150,2020-07-19 19:00:00,Surat,25.4,195,2
151,2020-07-19 22:00:00,Surat,24.8,220,4
152,2020-07-20 01:00:00,Surat,25.5,225,2
153,2020-07-20 04:00:00,Surat,29.6,270,3
154,2020-07-20 07:00:00,Surat,31.0,20,3
155,2020-07-20 10:00:00,Surat,30.4,345,4
156,2020-07-20 13:00:00,Surat,27.0,65,0
157,2020-07-20 16:00:00,Surat,25.9,125,3
158,2020-07-20 19:00:00,Surat,25.3,195,2
159,2020-07-20 22:00:00,Surat,24.9,210,1
160,2020-07-21 01:00:00,Surat,25.8,240,1
161,2020-07-21 04:00:00,Surat,29.4,235,3
162,2020-07-21 07:00:00,Surat,30.9,40,1
163,2020-07-21 10:00:00,Surat,29.4,40,6
164,2020-07-21 13:00:00,Surat,26.4,85,3
165,2020-07-21 16:00:00,Surat,25.5,290,2
166,2020-07-21 19:00:00,Surat,25.1,295,2
167,2020-07-21 22:00:00,Surat,24.5,230,2
168,2020-07-22 01:00:00,Surat,25.1,180,2
169,2020-07-22 04:00:00,Surat,29.3,120,2
170,2020-07-22 07:00:00,Surat,31.3,0,0
