datetime,province,temp,wind_dir,wind_speed
2020-07-13 19:00:00,Saraburi,24.7,175,6
2020-07-13 22:00:00,Saraburi,24.9,135,5
2020-07-14 01:00:00,Saraburi,25.0,160,6
2020-07-14 04:00:00,Saraburi,26.2,170,10
2020-07-14 07:00:00,Saraburi,30.1,235,3
2020-07-14 10:00:00,Saraburi,29.9,240,4
2020-07-14 13:00:00,Saraburi,27.8,180,6
2020-07-14 16:00:00,Saraburi,26.3,160,7
2020-07-14 19:00:00,Saraburi,25.1,135,4
2020-07-14 22:00:00,Saraburi,24.6,110,0
2020-07-15 01:00:00,Saraburi,25.1,160,3
2020-07-15 04:00:00,Saraburi,27.1,165,3
2020-07-15 07:00:00,Saraburi,31.3,200,10
2020-07-15 10:00:00,Saraburi,32.1,215,11
2020-07-15 13:00:00,Saraburi,28.6,180,4
2020-07-15 16:00:00,Saraburi,27.1,165,7
2020-07-15 19:00:00,Saraburi,25.7,185,6
2020-07-15 22:00:00,Saraburi,25.0,170,7
2020-07-16 01:00:00,Saraburi,25.8,175,9
2020-07-16 04:00:00,Saraburi,29.9,210,12
2020-07-16 07:00:00,Saraburi,32.6,190,10
2020-07-16 10:00:00,Saraburi,33.0,190,12
2020-07-16 13:00:00,Saraburi,27.4,220,15
2020-07-16 16:00:00,Saraburi,25.7,165,7
2020-07-16 19:00:00,Saraburi,25.1,145,8
2020-07-16 22:00:00,Saraburi,24.8,185,9
2020-07-17 01:00:00,Saraburi,26.0,220,5
2020-07-17 04:00:00,Saraburi,30.3,200,13
2020-07-17 07:00:00,Saraburi,32.1,185,13
2020-07-17 10:00:00,Saraburi,32.5,185,13
2020-07-17 13:00:00,Saraburi,29.1,160,7
2020-07-17 16:00:00,Saraburi,27.8,160,7
2020-07-17 19:00:00,Saraburi,26.2,175,6
2020-07-17 22:00:00,Saraburi,25.4,155,5
2020-07-18 01:00:00,Saraburi,26.7,165,3
2020-07-18 04:00:00,Saraburi,31.0,200,9
2020-07-18 07:00:00,Saraburi,33.4,190,12
2020-07-18 10:00:00,Saraburi,33.0,185,14
2020-07-18 13:00:00,Saraburi,28.9,150,9
2020-07-18 16:00:00,Saraburi,27.1,150,9
2020-07-18 19:00:00,Saraburi,26.1,200,7
2020-07-18 22:00:00,Saraburi,25.4,160,7
2020-07-19 01:00:00,Saraburi,26.7,145,8
2020-07-19 04:00:00,Saraburi,31.2,185,14
2020-07-19 07:00:00,Saraburi,33.5,195,12
2020-07-19 10:00:00,Saraburi,33.6,210,9
2020-07-19 13:00:00,Saraburi,29.8,170,6
2020-07-19 16:00:00,Saraburi,28.0,155,10
2020-07-19 19:00:00,Saraburi,26.3,185,6
2020-07-19 22:00:00,Saraburi,25.9,155,7
2020-07-20 01:00:00,Saraburi,26.5,145,6
2020-07-20 04:00:00,Saraburi,31.0,185,12
2020-07-20 07:00:00,Saraburi,33.2,200,11
2020-07-20 10:00:00,Saraburi,33.5,220,4
2020-07-20 13:00:00,Saraburi,28.4,110,6
2020-07-20 16:00:00,Saraburi,27.0,140,14
2020-07-20 19:00:00,Saraburi,25.5,140,9
2020-07-20 22:00:00,Saraburi,25.1,145,4
2020-07-21 01:00:00,Saraburi,26.2,115,7
2020-07-21 04:00:00,Saraburi,30.1,180,10
2020-07-21 07:00:00,Saraburi,32.3,185,8
2020-07-21 10:00:00,Saraburi,31.6,180,10
2020-07-21 13:00:00,Saraburi,27.8,180,6
2020-07-21 16:00:00,Saraburi,25.8,170,4
2020-07-21 19:00:00,Saraburi,24.9,170,3
2020-07-21 22:00:00,Saraburi,24.4,145,1
2020-07-22 01:00:00,Saraburi,25.5,160,5
2020-07-22 04:00:00,Saraburi,30.0,175,11
2020-07-22 07:00:00,Saraburi,32.4,200,9
2020-07-22 10:00:00,Saraburi,32.8,180,11
2020-07-22 13:00:00,Saraburi,28.9,150,8
2020-07-22 16:00:00,Saraburi,26.9,165,9
2020-07-22 19:00:00,Saraburi,26.0,145,6
2020-07-22 22:00:00,Saraburi,25.3,140,7
2020-07-23 01:00:00,Saraburi,26.4,150,7
