,datetime,province,temp,wind_dir,wind_speed
105,2020-07-14 04:00:00,Chiangmai,26.6,170,4
106,2020-07-14 07:00:00,Chiangmai,30.4,180,7
107,2020-07-14 10:00:00,Chiangmai,30.3,175,7
108,2020-07-14 13:00:00,Chiangmai,25.3,190,4
109,2020-07-14 16:00:00,Chiangmai,22.8,165,2
110,2020-07-14 19:00:00,Chiangmai,22.2,240,3
111,2020-07-14 22:00:00,Chiangmai,21.5,295,2
112,2020-07-15 01:00:00,Chiangmai,22.5,280,2
113,2020-07-15 04:00:00,Chiangmai,28.7,175,2
114,2020-07-15 07:00:00,Chiangmai,31.7,190,3
115,2020-07-15 10:00:00,Chiangmai,31.8,155,4
116,2020-07-15 13:00:00,Chiangmai,26.4,190,3
117,2020-07-15 16:00:00,Chiangmai,23.5,165,2
118,2020-07-15 19:00:00,Chiangmai,22.8,220,2
119,2020-07-15 22:00:00,Chiangmai,22.5,210,2
120,2020-07-16 01:00:00,Chiangmai,23.5,55,2
121,2020-07-16 04:00:00,Chiangmai,28.7,250,2
122,2020-07-16 07:00:00,Chiangmai,31.8,180,4
123,2020-07-16 10:00:00,Chiangmai,30.1,175,6
124,2020-07-16 13:00:00,Chiangmai,25.4,150,5
125,2020-07-16 16:00:00,Chiangmai,23.6,150,3
126,2020-07-16 19:00:00,Chiangmai,22.7,225,2
127,2020-07-16 22:00:00,Chiangmai,22.0,245,2
128,2020-07-17 01:00:00,Chiangmai,23.3,215,5
129,2020-07-17 04:00:00,Chiangmai,28.6,160,2
130,2020-07-17 07:00:00,Chiangmai,30.9,165,5
131,2020-07-17 10:00:00,Chiangmai,30.8,155,8
132,2020-07-17 13:00:00,Chiangmai,26.1,165,5
133,2020-07-17 16:00:00,Chiangmai,23.6,175,3
134,2020-07-17 19:00:00,Chiangmai,22.8,200,2
135,2020-07-17 22:00:00,Chiangmai,22.2,245,2
136,2020-07-18 01:00:00,Chiangmai,23.1,205,2
137,2020-07-18 04:00:00,Chiangmai,28.3,185,3
138,2020-07-18 07:00:00,Chiangmai,31.6,190,3
139,2020-07-18 10:00:00,Chiangmai,30.5,210,6
140,2020-07-18 13:00:00,Chiangmai,25.3,200,4
141,2020-07-18 16:00:00,Chiangmai,23.9,195,3
142,2020-07-18 19:00:00,Chiangmai,23.3,250,3
143,2020-07-18 22:00:00,Chiangmai,22.7,205,3
144,2020-07-19 01:00:00,Chiangmai,23.5,165,1
145,2020-07-19 04:00:00,Chiangmai,28.0,225,4
146,2020-07-19 07:00:00,Chiangmai,30.3,205,7
147,2020-07-19 10:00:00,Chiangmai,30.1,195,6
148,2020-07-19 13:00:00,Chiangmai,25.7,265,4
149,2020-07-19 16:00:00,Chiangmai,24.3,270,2
150,2020-07-19 19:00:00,Chiangmai,23.4,260,2
151,2020-07-19 22:00:00,Chiangmai,22.6,270,2
152,2020-07-20 01:00:00,Chiangmai,23.5,280,1
153,2020-07-20 04:00:00,Chiangmai,27.3,190,2
154,2020-07-20 07:00:00,Chiangmai,30.1,205,3
155,2020-07-20 10:00:00,Chiangmai,29.8,50,2
156,2020-07-20 13:00:00,Chiangmai,25.8,5,1
157,2020-07-20 16:00:00,Chiangmai,23.9,320,1
158,2020-07-20 19:00:00,Chiangmai,22.9,255,1
159,2020-07-20 22:00:00,Chiangmai,22.4,330,1
160,2020-07-21 01:00:00,Chiangmai,23.6,265,0
161,2020-07-21 04:00:00,Chiangmai,26.2,345,3
162,2020-07-21 07:00:00,Chiangmai,25.8,360,4
163,2020-07-21 10:00:00,Chiangmai,26.4,360,6
164,2020-07-21 13:00:00,Chiangmai,24.3,335,3
165,2020-07-21 16:00:00,Chiangmai,23.1,340,3
166,2020-07-21 19:00:00,Chiangmai,22.3,335,2
167,2020-07-21 22:00:00,Chiangmai,22.0,320,2
168,2020-07-22 01:00:00,Chiangmai,22.9,230,1
169,2020-07-22 04:00:00,Chiangmai,29.2,195,1
